sku;Price 1_net_price;RRP_net_price;stock;image 1;image 2;image 3;image 4;image 5;image 6;image 7;image 8;image 9;Model;Year Manufactur;Case size specific;Brand;Case thickness;Barcode;Item Location;Dispatch Days;Title IT;Description IT;Brand Description IT;Series;Os;Storage;Connectivity;Compatibility;Altimeter;Atomic radio;Compass;Heart rate monitor;Pedometer;Lunar fases;Time zones;Indicator tide;Load indicator;Light;Booster;Alarm;Tachometer;Termometer;EAN Code;UPC Code;Category;Water Resistance;Gender IT;Style IT;Movement IT;Powered by IT;Movement manufacturer IT;Movement engine IT;Age group IT;Calendar type IT;Chronograph IT;Case shape IT;Case material IT;Case colour IT;Case finish IT;Display Type IT;Glass type IT;Dial colour IT;Dial shape IT;Band material IT;Band colour IT;Band clasp type IT;Currency
MK3179;57.71;163.11;0;https://mediagallery.kiums.com/images/mk3179-01.jpg;https://mediagallery.kiums.com/images/mk3179-02.jpg;https://mediagallery.kiums.com/images/mk3179-03.jpg;https://mediagallery.kiums.com/images/mk3179-04.jpg;https://mediagallery.kiums.com/images/mk3179-05.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;;Runway;2010-Now;42 mm;Michael Kors;8.5 mm;EAN;IT;1;Michael Kors Runway Champagne MK3179 Orologio Donna al Quarzo;Orologio Donna Michael Kors MK3179 modello Runway Champagne, Cassa in Acciaio Inossidabile di Diametro 42 mm, quadrante Oro, vetro Minerale e cinturino in Acciaio di colore Oro;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Runway Champagne;;;;;;;;;;;;;;;;;;;4051432591570;691464891121;Wristwatch;50 m (5 ATM);Donna;Casual;Quarzo;Batteria;Giapponese;;Adulto;;;Circolare;Acciaio Inossidabile;Oro;Smaltato;Analogico;Minerale;Oro;Circolare;Acciaio;Oro;Bracciale chiusura a scatto;EUR
MK3181;57.71;163.11;15;https://mediagallery.kiums.com/images/mk3181-01.jpg;https://mediagallery.kiums.com/images/mk3181-02.jpg;https://mediagallery.kiums.com/images/mk3181-04.jpeg;https://mediagallery.kiums.com/images/mk3181-05.jpg;https://mediagallery.kiums.com/images/mk3181-06.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;;Runway;2010-Now;41 mm;Michael Kors;8 mm;EAN;IT;1;Michael Kors Runway Classic Slim MK3181 Orologio Donna al Quarzo;Orologio Donna Michael Kors MK3181 modello Runway Classic Slim, Cassa in Acciaio Inossidabile di Diametro 41 mm, quadrante Marrone, vetro Minerale e cinturino in Acciaio di colore Oro rosa;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Runway Classic Slim;;;;;;;;;;;;;;;;;;;4051432648304;691464912970;Wristwatch;50 m (5 ATM);Donna;Casual;Quarzo;Batteria;Giapponese;;Adulto;;;Circolare;Acciaio Inossidabile;Oro Rosa;Lucido;Analogico;Minerale;Marrone;Circolare;Acciaio;Oro rosa;Bracciale chiusura a scatto;EUR
MK3190;66.41;187.70;15;https://mediagallery.kiums.com/images/mk3190-01.jpg;https://mediagallery.kiums.com/images/mk3190-02.jpg;https://mediagallery.kiums.com/images/mk3190-03.jpg;https://mediagallery.kiums.com/images/mk3190-04.jpg;https://mediagallery.kiums.com/images/mk3190-05.jpg;https://mediagallery.kiums.com/images/mk3190-06.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;Darci;2010-Now;39 mm;Michael Kors;7 mm;EAN;IT;1;Michael Kors Darci MK3190 Orologio Donna al Quarzo;Orologio Donna Michael Kors MK3190 modello Darci, Cassa in Acciaio Inossidabile di Diametro 39 mm, quadrante Argento, vetro Minerale e cinturino in Acciaio di colore Argento;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Darci;;;;;;;;;;;;;;;;;;;4051432739149;691464950231;Wristwatch;50 m (5 ATM);Donna;Casual;Quarzo;Batteria;Giapponese;;Adulto;;;Circolare;Acciaio Inossidabile;Argento;Lucido;Analogico;Minerale;Argento;Circolare;Acciaio;Argento;Bracciale chiusura a scatto;EUR
MK3191;72.21;204.10;14;https://mediagallery.kiums.com/images/mk3191-01.jpg;https://mediagallery.kiums.com/images/mk3191-02.jpg;https://mediagallery.kiums.com/images/mk3191-03.jpg;https://mediagallery.kiums.com/images/mk3191-04.jpg;https://mediagallery.kiums.com/images/mk3191-05.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;;Darci;2010-Now;39 mm;Michael Kors;7 mm;EAN;IT;1;Michael Kors Darci MK3191 Orologio Donna al Quarzo;Orologio Donna Michael Kors MK3191 modello Darci, Cassa in Acciaio Inossidabile di Diametro 39 mm, quadrante Oro, vetro Minerale e cinturino in Acciaio di colore Oro;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Darci;;;;;;;;;;;;;;;;;;;4051432739156;691464950248;Wristwatch;50 m (5 ATM);Donna;Casual;Quarzo;Batteria;Giapponese;;Adulto;;;Circolare;Acciaio Inossidabile;Oro;Lucido;Analogico;Minerale;Oro;Circolare;Acciaio;Oro;Bracciale chiusura a scatto;EUR
MK3192;72.21;204.10;8;https://mediagallery.kiums.com/images/mk3192-01.jpg;https://mediagallery.kiums.com/images/mk3192-02.jpg;https://mediagallery.kiums.com/images/mk3192-03.jpg;https://mediagallery.kiums.com/images/mk3192-04.jpg;https://mediagallery.kiums.com/images/mk3192-05.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;;Darci;2010-Now;39 mm;Michael Kors;7 mm;EAN;IT;1;Michael Kors Darci MK3192 Orologio Donna al Quarzo;Orologio Donna Michael Kors MK3192 modello Darci, Cassa in Acciaio Inossidabile di Diametro 39 mm, quadrante Oro rosa, vetro Minerale e cinturino in Acciaio di colore Oro rosa;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Darci;;;;;;;;;;;;;;;;;;;8431242474656;691464950255;Wristwatch;50 m (5 ATM);Donna;Casual;Quarzo;Batteria;Giapponese;;Adulto;;;Circolare;Acciaio Inossidabile;Oro Rosa;Smaltato;Analogico;Minerale;Oro rosa;Circolare;Acciaio;Oro rosa;Bracciale chiusura a scatto;EUR
MK3197;57.71;163.11;18;https://mediagallery.kiums.com/images/mk3197-01.jpg;https://mediagallery.kiums.com/images/mk3197-02.jpg;https://mediagallery.kiums.com/images/mk3197-03.jpg;https://mediagallery.kiums.com/images/mk3197-04.jpg;https://mediagallery.kiums.com/images/mk3197-05.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;;Runway;2010-Now;42 mm;Michael Kors;8 mm;EAN;IT;1;Michael Kors Runway MK3197 Orologio Donna al Quarzo;Orologio Donna Michael Kors MK3197 modello Runway, Cassa in Acciaio Inossidabile di Diametro 42 mm, quadrante Oro rosa, vetro Minerale e cinturino in Acciaio di colore Oro rosa;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Runway;;;;;;;;;;;;;;;;;;;4051432748028;691464951511;Wristwatch;50 m (5 ATM);Donna;Casual;Quarzo;Batteria;Giapponese;;Adulto;;;Circolare;Acciaio Inossidabile;Oro Rosa;Smaltato;Analogico;Minerale;Oro rosa;Circolare;Acciaio;Oro rosa;Bracciale chiusura a scatto;EUR
MK3198;57.71;163.11;4;https://mediagallery.kiums.com/images/mk3198-01.jpg;https://mediagallery.kiums.com/images/mk3198-02.jpg;https://mediagallery.kiums.com/images/mk3198-03.jpg;https://mediagallery.kiums.com/images/mk3198-04.jpeg;https://mediagallery.kiums.com/images/mk-box.jpg;;;;;Runway;2010-Now;40 mm;Michael Kors;9 mm;UPC;IT;1;Michael Kors Runway MK3198 Orologio Unisex al Quarzo;Orologio Unisex Michael Kors MK3198 modello Runway, Cassa in Acciaio Inossidabile di Diametro 40 mm, quadrante Bianco, vetro Minerale e cinturino in Acciaio di colore Multicolore;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Runway;;;;;;;;;;;;;;;;;;;;691464004804;Wristwatch;50 m (5 ATM);Unisex Adult;Casual;Quarzo;Batteria;Giapponese;;Adulto;;;Circolare;Acciaio Inossidabile;Argento;Lucido;Analogico;Minerale;Bianco;Circolare;Acciaio;Multicolore;Bracciale chiusura a scatto;EUR
MK3203;72.21;204.10;6;https://mediagallery.kiums.com/images/mk3203-01.jpg;https://mediagallery.kiums.com/images/mk3203-02.jpg;https://mediagallery.kiums.com/images/mk3203-03.jpg;https://mediagallery.kiums.com/images/mk3203-04.jpg;https://mediagallery.kiums.com/images/mk3203-05.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;;Darci;2010-Now;39 mm;Michael Kors;7 mm;EAN;IT;1;Michael Kors Darci MK3203 Orologio Donna al Quarzo;Orologio Donna Michael Kors MK3203 modello Darci, Cassa in Acciaio Inossidabile di Diametro 39 mm, quadrante Argento, vetro Minerale e cinturino in Acciaio di colore Multicolore;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Darci;;;;;;;;;;;;;;;;;;;4051432904578;691464004842;Wristwatch;50 m (5 ATM);Donna;Casual;Quarzo;Batteria;Giapponese;;Adulto;;;Circolare;Acciaio Inossidabile;Argento;Lucido;Analogico;Minerale;Argento;Circolare;Acciaio;Multicolore;Bracciale chiusura a scatto;EUR
MK3218;66.41;187.70;10;https://mediagallery.kiums.com/images/mk3218-01.jpg;https://mediagallery.kiums.com/images/mk3218-02.jpg;https://mediagallery.kiums.com/images/mk3218-03.jpeg;https://mediagallery.kiums.com/images/mk3218-04.jpg;https://mediagallery.kiums.com/images/mk3218-05.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;;Darci;2010-Now;39 mm;Michael Kors;7 mm;EAN;IT;1;Michael Kors Darci MK3218 Orologio Donna al Quarzo;Orologio Donna Michael Kors MK3218 modello Darci, Cassa in Acciaio Inossidabile di Diametro 39 mm, quadrante Oro rosa, vetro Minerale e cinturino in Acciaio di colore Argento;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Darci;;;;;;;;;;;;;;;;;;;8431242469836;796483035799;Wristwatch;50 m (5 ATM);Donna;Casual;Quarzo;Batteria;Giapponese;;Adulto;;;Circolare;Acciaio Inossidabile;Argento;Lucido;Analogico;Minerale;Oro rosa;Circolare;Acciaio;Argento;Bracciale chiusura a scatto;EUR
MK3228;57.71;163.11;30;https://mediagallery.kiums.com/images/mk3228-01.jpg;https://mediagallery.kiums.com/images/mk3228-02.jpg;https://mediagallery.kiums.com/images/mk3228-03.jpg;https://mediagallery.kiums.com/images/mk3228-04.jpg;https://mediagallery.kiums.com/images/mk3228-05.jpg;https://mediagallery.kiums.com/images/mk3228-06.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;Lexington;2010-Now;26 mm;Michael Kors;8.5 mm;UPC;IT;1;Michael Kors Lexington MK3228 Orologio Donna al Quarzo;Orologio Donna Michael Kors MK3228 modello Lexington, Cassa in Acciaio Inossidabile di Diametro 26 mm, quadrante Argento, vetro Minerale e cinturino in Acciaio di colore Argento;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Lexington;;;;;;;;;;;;;;;;;;;;796483035881;Wristwatch;50 m (5 ATM);Donna;Casual;Quarzo;Batteria;Giapponese;;Adulto;;;Circolare;Acciaio Inossidabile;Argento;Lucido;Analogico;Minerale;Argento;Circolare;Acciaio;Argento;Bracciale chiusura a scatto;EUR
MK3264;57.71;163.11;0;https://mediagallery.kiums.com/images/mk3264-01.jpg;https://mediagallery.kiums.com/images/mk3264-02.jpg;https://mediagallery.kiums.com/images/mk3264-03.jpg;https://mediagallery.kiums.com/images/mk3264-04.jpeg;https://mediagallery.kiums.com/images/mk3264-05.jpg;https://mediagallery.kiums.com/images/mk3264-06.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;Runway;2010-Now;42 mm;Michael Kors;;EAN;IT;1;Michael Kors Runway MK3264 Orologio Donna al Quarzo;Orologio Donna Michael Kors MK3264 modello Runway, Cassa in Acciaio Inossidabile di Diametro 42 mm, quadrante Rosa, vetro Minerale e cinturino in Acciaio di colore Oro;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Runway;;;;;;;;;;;;;;;;;;;4053858164475;796483070882;Wristwatch;50 m (5 ATM);Donna;Casual;Quarzo;Batteria;Giapponese;;Adulto;;;Circolare;Acciaio Inossidabile;Oro;Lucido;Analogico;Minerale;Rosa;Circolare;Acciaio;Oro;Bracciale chiusura a scatto;EUR
MK3265;57.71;163.11;1;https://mediagallery.kiums.com/images/mk3265-01.jpg;https://mediagallery.kiums.com/images/mk3265-02.jpg;https://mediagallery.kiums.com/images/mk3265-03.jpg;https://mediagallery.kiums.com/images/mk3265-04.jpg;https://mediagallery.kiums.com/images/mk3265-05.jpg;https://mediagallery.kiums.com/images/mk3265-06.jpg;https://mediagallery.kiums.com/images/mk3265-07.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;Runway;2010-Now;42 mm;Michael Kors;;EAN;IT;1;Michael Kors Runway MK3265 Orologio Donna al Quarzo;Orologio Donna Michael Kors MK3265 modello Runway, Cassa in Acciaio Inossidabile di Diametro 42 mm, quadrante Blu, vetro Minerale e cinturino in Acciaio di colore Oro;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Runway;;;;;;;;;;;;;;;;;;;4053858164482;796483070899;Wristwatch;50 m (5 ATM);Donna;Casual;Quarzo;Batteria;Giapponese;;Adulto;;;Circolare;Acciaio Inossidabile;Oro;Lucido;Analogico;Minerale;Blu;Circolare;Acciaio;Oro;Bracciale chiusura a scatto;EUR
MK3339;80.91;228.69;11;https://mediagallery.kiums.com/images/mk3339-01.jpg;https://mediagallery.kiums.com/images/mk3339-03.jpg;https://mediagallery.kiums.com/images/mk3339-04.jpg;https://mediagallery.kiums.com/images/mk3339-06.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;;;Catlin;2010-Now;38 mm;Michael Kors;;EAN;IT;1;Michael Kors Catlin MK3339 Orologio Donna al Quarzo;Orologio Donna Michael Kors MK3339 modello Catlin, Cassa in Acciaio Inossidabile di Diametro 38 mm, quadrante Nero, vetro Minerale e cinturino in Acciaio di colore Oro rosa;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Catlin;;;;;;;;;;;;;;;;;;;4053858321977;796483124370;Wristwatch;50 m (5 ATM);Donna;Casual;Quarzo;Batteria;Giapponese;;Adulto;;;Circolare;Acciaio Inossidabile;Oro Rosa;Smaltato;Analogico;Minerale;Nero;Circolare;Acciaio;Oro rosa;Bracciale chiusura a scatto;EUR
MK5020;72.21;204.10;3;https://mediagallery.kiums.com/images/mk5020-01.jpg;https://mediagallery.kiums.com/images/mk5020-02.jpg;https://mediagallery.kiums.com/images/mk5020-03.jpg;https://mediagallery.kiums.com/images/mk5020-04.jpg;https://mediagallery.kiums.com/images/mk5020-05.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;;Ritz;2010-Now;38 mm;Michael Kors;12 mm;EAN;IT;1;Michael Kors Ritz MK5020 Orologio Donna al Quarzo;Orologio Donna Michael Kors MK5020 modello Ritz, Cassa in Acciaio Inossidabile di Diametro 38 mm, quadrante Bianco, vetro Minerale e cinturino in Acciaio di colore Argento;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Ritz;;;;;;;;;;;;;;;;;;;4013496709407;691464121570;Wristwatch;100 m (10 ATM);Donna;Casual;Quarzo;Batteria;Giapponese;;Adulto;Data;Cronografo;Circolare;Acciaio Inossidabile;Argento;Lucido;Analogico;Minerale;Bianco;Circolare;Acciaio;Argento;Bracciale chiusura a scatto;EUR
MK5055;72.21;204.10;6;https://mediagallery.kiums.com/images/mk5055-01.jpg;https://mediagallery.kiums.com/images/mk5055-02.jpg;https://mediagallery.kiums.com/images/mk5055-03.jpg;https://mediagallery.kiums.com/images/mk5055-04.jpg;https://mediagallery.kiums.com/images/mk5055-05.jpg;https://mediagallery.kiums.com/images/mk5055-06.jpg;https://mediagallery.kiums.com/images/mk5055-07.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;Runway;2010-Now;38 mm;Michael Kors;11 mm;EAN;IT;1;Michael Kors Runway MK5055 Orologio Unisex al Quarzo;Orologio Unisex Michael Kors MK5055 modello Runway, Cassa in Acciaio Inossidabile di Diametro 38 mm, quadrante Oro, vetro Minerale e cinturino in Acciaio di colore Oro;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Runway;;;;;;;;;;;;;;;;;;;4013496920727;691464173852;Wristwatch;100 m (10 ATM);Unisex Adult;Casual;Quarzo;Batteria;Giapponese;;Adulto;Data;Cronografo;Circolare;Acciaio Inossidabile;Oro;Lucido;Analogico;Minerale;Oro;Circolare;Acciaio;Oro;Bracciale chiusura a scatto;EUR
MK5057;72.21;204.10;7;https://mediagallery.kiums.com/images/mk5057-01.jpg;https://mediagallery.kiums.com/images/mk5057-02.jpg;https://mediagallery.kiums.com/images/mk5057-03.jpg;https://mediagallery.kiums.com/images/mk5057-04.jpg;https://mediagallery.kiums.com/images/mk5057-05.jpg;https://mediagallery.kiums.com/images/mk5057-06.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;Ritz;2010-Now;36 mm;Michael Kors;11 mm;EAN;IT;1;Michael Kors Ritz MK5057 Orologio Donna al Quarzo;Orologio Donna Michael Kors MK5057 modello Ritz, Cassa in Acciaio Inossidabile di Diametro 36 mm, quadrante Bianco, vetro Minerale e cinturino in Acciaio di colore Multicolore;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Ritz;;;;;;;;;;;;;;;;;;;4013496154450;691464184254;Wristwatch;100 m (10 ATM);Donna;Casual;Quarzo;Batteria;Giapponese;;Adulto;Data;Cronografo;Circolare;Acciaio Inossidabile;Argento;Lucido;Analogico;Minerale;Bianco;Circolare;Acciaio;Multicolore;Bracciale chiusura a scatto;EUR
