sku;Price 1_net_price;RRP_net_price;stock;image 1;image 2;image 3;image 4;image 5;image 6;image 7;image 8;image 9;Model;Year Manufactur;Case size specific;Brand;Case thickness;Barcode;Item Location;Dispatch Days;Title DE;Description DE;Brand Description DE;Series;Os;Storage;Connectivity;Compatibility;Altimeter;Atomic radio;Compass;Heart rate monitor;Pedometer;Lunar fases;Time zones;Indicator tide;Load indicator;Light;Booster;Alarm;Tachometer;Termometer;EAN Code;UPC Code;Category;Water Resistance;Gender DE;Style DE;Movement DE;Powered by DE;Movement manufacturer DE;Movement engine DE;Age group DE;Calendar type DE;Chronograph DE;Case shape DE;Case material DE;Case colour DE;Case finish DE;Display Type DE;Glass type DE;Dial colour DE;Dial shape DE;Band material DE;Band colour DE;Band clasp type DE;Currency
AR5920;115.71;327.05;0;https://mediagallery.kiums.com/images/ar5920-01.jpeg;https://mediagallery.kiums.com/images/ar5920-02.jpg;https://mediagallery.kiums.com/images/ar5920-03.jpg;https://mediagallery.kiums.com/images/ar5920-04.jpg;https://mediagallery.kiums.com/images/ar5920-05.jpg;https://mediagallery.kiums.com/images/ar5920-06.jpg;https://mediagallery.kiums.com/images/ar5920-07.jpg;https://mediagallery.kiums.com/images/ar-box.jpg;;;2010-Now;35 mm;Emporio Armani;;EAN;IT;1;Emporio Armani Sportivo AR5920 Quarz Damen Armbanduhr;Armbanduhr Emporio Armani Sportivo AR5920 für Damen, uhrengehäuse aus Edelstahl mit einem durchmesser von 35 mm, Glastyp Mineral, Ziffernblatt Weiß und uhrenarmband aus Kautschuk in der farbe Mehrfarben;Der italienische Stil müss bei Emporio Armani vorbeigehen. Armani ist ein der Symbole der italienischen Art in der Welt und, außerdem, es ist für seine Kollektion von Emporio Armani Uhren bekannt. Die Kollektion ist für Frauen und Herren gewidmet, die den klassischen Stil lieben. Dank ihres philosophischen Konzeptes des Brands, ist Emporio Armani enie Kollektion, die ihre Semplizität in eine Stärke verwandelt, um neue Eleganz zu erschaffen. Die Uhren von Emporio Armani haben ein elegantes und schlichtes Design, die von dem Treffen von qualitativ hochwertigen Materialen geboren sind.;Sportivo;;;;;;;;;;;;;;;;;;;4051432081873;;Wristwatch;50 m (5 ATM);Damen;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Gold;Glanz;Analogue;Mineral Crystal;Weiß;Rund;Kautschuk;Mehrfarben;Armband Link Bang;EUR
AR5933;116.00;327.87;0;https://mediagallery.kiums.com/images/ar5933-01.jpg;https://mediagallery.kiums.com/images/ar-box.jpg;;;;;;;;;2010-Now;45 mm;Emporio Armani;;EAN;IT;1;Emporio Armani Classic AR5933 Quarz Herren Armbanduhr;Armbanduhr Emporio Armani Classic AR5933 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 45 mm, Glastyp Mineral, Ziffernblatt Blau und uhrenarmband aus Edelstahl in der farbe Silber;Der italienische Stil müss bei Emporio Armani vorbeigehen. Armani ist ein der Symbole der italienischen Art in der Welt und, außerdem, es ist für seine Kollektion von Emporio Armani Uhren bekannt. Die Kollektion ist für Frauen und Herren gewidmet, die den klassischen Stil lieben. Dank ihres philosophischen Konzeptes des Brands, ist Emporio Armani enie Kollektion, die ihre Semplizität in eine Stärke verwandelt, um neue Eleganz zu erschaffen. Die Uhren von Emporio Armani haben ein elegantes und schlichtes Design, die von dem Treffen von qualitativ hochwertigen Materialen geboren sind.;Classic;;;;;;;;;;;;;;;;;;;5052210408386;;Wristwatch;50 m (5 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Silber;Glanz;Analogue;Mineral Crystal;Blau;Rund;Edelstahl;Silber;Armband Link Bang;EUR
AR5980;104.11;294.26;0;https://mediagallery.kiums.com/images/ar5980-01.jpg;https://mediagallery.kiums.com/images/ar5980-02.jpg;https://mediagallery.kiums.com/images/ar5980-03.jpg;https://mediagallery.kiums.com/images/ar5980-04.jpg;https://mediagallery.kiums.com/images/ar5980-06.jpg;https://mediagallery.kiums.com/images/ar5980-07.jpg;https://mediagallery.kiums.com/images/ar-box.jpg;;;;2010-Now;43 mm;Emporio Armani;;EAN;IT;1;Emporio Armani Sportivo AR5980 Quarz Herren Armbanduhr;Armbanduhr Emporio Armani Sportivo AR5980 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 43 mm, Glastyp Mineral, Ziffernblatt Schwarz und uhrenarmband aus Edelstahl in der farbe Silber;Der italienische Stil müss bei Emporio Armani vorbeigehen. Armani ist ein der Symbole der italienischen Art in der Welt und, außerdem, es ist für seine Kollektion von Emporio Armani Uhren bekannt. Die Kollektion ist für Frauen und Herren gewidmet, die den klassischen Stil lieben. Dank ihres philosophischen Konzeptes des Brands, ist Emporio Armani enie Kollektion, die ihre Semplizität in eine Stärke verwandelt, um neue Eleganz zu erschaffen. Die Uhren von Emporio Armani haben ein elegantes und schlichtes Design, die von dem Treffen von qualitativ hochwertigen Materialen geboren sind.;Sportivo;;;;;;;;;;;;;;;;;;;4051432576027;723763186384;Wristwatch;50 m (5 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Silber;Glanz;Analogue;Mineral Crystal;Schwarz;Rund;Edelstahl;Silber;Armband Link Bang;EUR
AR5986;72.21;204.10;0;https://mediagallery.kiums.com/images/ar5986-01.jpg;https://mediagallery.kiums.com/images/ar-box.jpg;;;;;;;;;2010-Now;46 mm;Emporio Armani;;EAN;IT;1;Emporio Armani Sportivo AR5986 Quarz Herren Armbanduhr;Armbanduhr Emporio Armani Sportivo AR5986 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 46 mm, Glastyp Mineral, Ziffernblatt Schwarz und uhrenarmband aus Kautschuk in der farbe Braun;Der italienische Stil müss bei Emporio Armani vorbeigehen. Armani ist ein der Symbole der italienischen Art in der Welt und, außerdem, es ist für seine Kollektion von Emporio Armani Uhren bekannt. Die Kollektion ist für Frauen und Herren gewidmet, die den klassischen Stil lieben. Dank ihres philosophischen Konzeptes des Brands, ist Emporio Armani enie Kollektion, die ihre Semplizität in eine Stärke verwandelt, um neue Eleganz zu erschaffen. Die Uhren von Emporio Armani haben ein elegantes und schlichtes Design, die von dem Treffen von qualitativ hochwertigen Materialen geboren sind.;Sportivo;;;;;;;;;;;;;;;;;;;4051432642272;;Wristwatch;50 m (5 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Grau;Matt;Analogue;Mineral Crystal;Schwarz;Rund;Kautschuk;Braun;Zwei Stück Gurt;EUR
AR5988;104.11;294.26;0;https://mediagallery.kiums.com/images/ar5988-01.jpg;https://mediagallery.kiums.com/images/ar5988-02.jpg;https://mediagallery.kiums.com/images/ar5988-03.jpg;https://mediagallery.kiums.com/images/ar5988-04.jpg;https://mediagallery.kiums.com/images/ar5988-05.jpg;https://mediagallery.kiums.com/images/ar5988-06.jpg;https://mediagallery.kiums.com/images/ar5988-07.jpg;https://mediagallery.kiums.com/images/ar-box.jpg;;Sportivo;2010-Now;46 mm;Emporio Armani;;EAN;IT;1;Emporio Armani Sportivo AR5988 Quarz Herren Armbanduhr;Armbanduhr Emporio Armani Sportivo AR5988 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 46 mm, Glastyp Mineral, Ziffernblatt Schwarz und uhrenarmband aus Edelstahl in der farbe Silber;Der italienische Stil müss bei Emporio Armani vorbeigehen. Armani ist ein der Symbole der italienischen Art in der Welt und, außerdem, es ist für seine Kollektion von Emporio Armani Uhren bekannt. Die Kollektion ist für Frauen und Herren gewidmet, die den klassischen Stil lieben. Dank ihres philosophischen Konzeptes des Brands, ist Emporio Armani enie Kollektion, die ihre Semplizität in eine Stärke verwandelt, um neue Eleganz zu erschaffen. Die Uhren von Emporio Armani haben ein elegantes und schlichtes Design, die von dem Treffen von qualitativ hochwertigen Materialen geboren sind.;Sportivo;;;;;;;;;;;;;;;;;;;4051432642296;723763188210;Wristwatch;50 m (5 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Silber;Glanz;Analogue;Mineral Crystal;Schwarz;Rund;Edelstahl;Silber;Armband Link Bang;EUR
AR6005;104.11;294.26;0;https://mediagallery.kiums.com/images/ar6005-01.jpg;https://mediagallery.kiums.com/images/ar-box.jpg;;;;;;;;;2010-Now;42.5 mm;Emporio Armani;;EAN;IT;1;Emporio Armani Sportivo AR6005 Quarz Herren Armbanduhr;Armbanduhr Emporio Armani Sportivo AR6005 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 42,5mm, Glastyp Mineral, Ziffernblatt Schwarz und uhrenarmband aus Echtes Leder in der farbe Braun;Der italienische Stil müss bei Emporio Armani vorbeigehen. Armani ist ein der Symbole der italienischen Art in der Welt und, außerdem, es ist für seine Kollektion von Emporio Armani Uhren bekannt. Die Kollektion ist für Frauen und Herren gewidmet, die den klassischen Stil lieben. Dank ihres philosophischen Konzeptes des Brands, ist Emporio Armani enie Kollektion, die ihre Semplizität in eine Stärke verwandelt, um neue Eleganz zu erschaffen. Die Uhren von Emporio Armani haben ein elegantes und schlichtes Design, die von dem Treffen von qualitativ hochwertigen Materialen geboren sind.;Sportivo;;;;;;;;;;;;;;;;;;;4053858180840;;Wristwatch;50 m (5 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Rose Gold;Glanz;Analogue;Mineral Crystal;Schwarz;Rund;Echtes Leder;Braun;Zwei Stück Gurt;EUR
AR6006;104.11;294.26;0;https://mediagallery.kiums.com/images/ar6006-01.jpg;https://mediagallery.kiums.com/images/ar6006-02.jpg;https://mediagallery.kiums.com/images/ar6006-03.jpg;https://mediagallery.kiums.com/images/ar6006-04.jpg;https://mediagallery.kiums.com/images/ar6006-06.jpg;https://mediagallery.kiums.com/images/ar-box.jpg;;;;Sportivo;2010-Now;43 mm;Emporio Armani;;EAN;IT;1;Emporio Armani Sportivo AR6006 Quarz Herren Armbanduhr;Armbanduhr Emporio Armani Sportivo AR6006 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 43 mm, Glastyp Mineral, Ziffernblatt Silber und uhrenarmband aus Echtes Leder in der farbe Schwarz;Der italienische Stil müss bei Emporio Armani vorbeigehen. Armani ist ein der Symbole der italienischen Art in der Welt und, außerdem, es ist für seine Kollektion von Emporio Armani Uhren bekannt. Die Kollektion ist für Frauen und Herren gewidmet, die den klassischen Stil lieben. Dank ihres philosophischen Konzeptes des Brands, ist Emporio Armani enie Kollektion, die ihre Semplizität in eine Stärke verwandelt, um neue Eleganz zu erschaffen. Die Uhren von Emporio Armani haben ein elegantes und schlichtes Design, die von dem Treffen von qualitativ hochwertigen Materialen geboren sind.;Sportivo;;;;;;;;;;;;;;;;;;;4053858180857;;Wristwatch;100 m (10 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Gold;Glanz;Analogue;Mineral Crystal;Silber;Rund;Echtes Leder;Schwarz;Zwei Stück Gurt;EUR
AR7361;78.01;220.49;0;https://mediagallery.kiums.com/images/ar7361-01.jpg;https://mediagallery.kiums.com/images/ar7361-03.jpg;https://mediagallery.kiums.com/images/ar7361-04.jpg;https://mediagallery.kiums.com/images/ar7361-05.jpg;https://mediagallery.kiums.com/images/ar7361-06.jpg;https://mediagallery.kiums.com/images/ar7361-07.jpg;https://mediagallery.kiums.com/images/ar-box.jpg;;;;2010-Now;26 mm;Emporio Armani;;EAN;IT;1;Emporio Armani Chiara AR7361 Quarz Damen Armbanduhr;Armbanduhr Emporio Armani Chiara AR7361 für Damen, uhrengehäuse aus Edelstahl mit einem durchmesser von 26 mm, Glastyp Mineral, Ziffernblatt Weiß und uhrenarmband aus Edelstahl in der farbe Silber;Der italienische Stil müss bei Emporio Armani vorbeigehen. Armani ist ein der Symbole der italienischen Art in der Welt und, außerdem, es ist für seine Kollektion von Emporio Armani Uhren bekannt. Die Kollektion ist für Frauen und Herren gewidmet, die den klassischen Stil lieben. Dank ihres philosophischen Konzeptes des Brands, ist Emporio Armani enie Kollektion, die ihre Semplizität in eine Stärke verwandelt, um neue Eleganz zu erschaffen. Die Uhren von Emporio Armani haben ein elegantes und schlichtes Design, die von dem Treffen von qualitativ hochwertigen Materialen geboren sind.;Chiara;;;;;;;;;;;;;;;;;;;4053858181090;;Wristwatch;30 m (3 ATM);Damen;Casual;Quarz;Batterie;Japanisch;;Erwachsene;;;Rund;Edelstahl;Silber;Glanz;Analogue;Mineral Crystal;Weiß;Rund;Edelstahl;Silber;Armband Link Bang;EUR
DZ4290;90.65;212.30;5;https://mediagallery.kiums.com/images/dz4290-01.jpg;https://mediagallery.kiums.com/images/dz4290-02.jpg;https://mediagallery.kiums.com/images/dz4290-03.jpg;https://mediagallery.kiums.com/images/dz4290-04.jpg;https://mediagallery.kiums.com/images/dz4290-05.jpg;https://mediagallery.kiums.com/images/dz4290-06.jpg;https://mediagallery.kiums.com/images/dz4290-07.jpg;https://mediagallery.kiums.com/images/dz-box.jpg;;Mega Chief;2010-Now;51 mm;Diesel;;EAN;IT;1;Diesel Mega Chief DZ4290 Quarz Herren Armbanduhr;Armbanduhr Diesel Mega Chief DZ4290 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 51 mm, Glastyp Mineral, Ziffernblatt Schwarz und uhrenarmband aus Echtes Leder in der farbe Schwarz;Stark, entschlossen, arrogant. Diesel-Uhr ist dauerhaft im Laufe der Zeit. Die Diesel-Philosophie ist im Laufe der Zeit unverändert geblieben: Renzo Rosso hatte sich eine Marke vorgestellt, die Synonym für Leidenschaft, Individualität und Selbstdarstellung ist. Ein Blick auf der Welt mit einer breiten Perspektive. Geometrische, quadrate, verführende und einnehmende Formen, die wissen, wie sie sich zu erkennen geben.;Mega Chief;;;;;;;;;;;;;;;;;;;4051432943508;698615088744;Wristwatch;50 m (5 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Silber;Glanz;Analogue;Mineral Crystal;Schwarz;Rund;Echtes Leder;Schwarz;Zwei Stück Gurt;EUR
DZ4297;69.65;163.11;0;https://mediagallery.kiums.com/images/dz4297-01.jpg;https://mediagallery.kiums.com/images/dz-box.jpg;;;;;;;;;2010-Now;;Diesel;;UPC;IT;1;Diesel Overflow DZ4297 Quarz Herren Armbanduhr;Armbanduhr Diesel Overflow DZ4297 für Herren, uhrengehäuse aus   mit einem durchmesser von , Glastyp Mineral, Ziffernblatt   und uhrenarmband aus   in der farbe;Stark, entschlossen, arrogant. Diesel-Uhr ist dauerhaft im Laufe der Zeit. Die Diesel-Philosophie ist im Laufe der Zeit unverändert geblieben: Renzo Rosso hatte sich eine Marke vorgestellt, die Synonym für Leidenschaft, Individualität und Selbstdarstellung ist. Ein Blick auf der Welt mit einer breiten Perspektive. Geometrische, quadrate, verführende und einnehmende Formen, die wissen, wie sie sich zu erkennen geben.;Overflow;;;;;;;;;;;;;;;;;;;;698615090563;Wristwatch;;Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;;;;;;;;Mineral Crystal;;;;;;EUR
DZ4305;83.65;195.90;0;https://mediagallery.kiums.com/images/dz4305-01.jpg;https://mediagallery.kiums.com/images/dz4305-02.jpg;https://mediagallery.kiums.com/images/dz4305-03.jpg;https://mediagallery.kiums.com/images/dz4305-04.jpg;https://mediagallery.kiums.com/images/dz4305-05.jpg;https://mediagallery.kiums.com/images/dz4305-06.jpg;https://mediagallery.kiums.com/images/dz4305-07.jpg;https://mediagallery.kiums.com/images/dz-box.jpg;;Mega Chief;2010-Now;51 mm;Diesel;;EAN;IT;1;Diesel Mega Chief DZ4305 Quarz Herren Armbanduhr;Armbanduhr Diesel Mega Chief DZ4305 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 51 mm, Glastyp Mineral, Ziffernblatt Rot und uhrenarmband aus Echtes Leder in der farbe Mehrfarben;Stark, entschlossen, arrogant. Diesel-Uhr ist dauerhaft im Laufe der Zeit. Die Diesel-Philosophie ist im Laufe der Zeit unverändert geblieben: Renzo Rosso hatte sich eine Marke vorgestellt, die Synonym für Leidenschaft, Individualität und Selbstdarstellung ist. Ein Blick auf der Welt mit einer breiten Perspektive. Geometrische, quadrate, verführende und einnehmende Formen, die wissen, wie sie sich zu erkennen geben.;Mega Chief;;;;;;;;;;;;;;;;;;;4053858002999;698615090648;Wristwatch;100 m (10 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Schwarz;Glanz;Analogue;Mineral Crystal;Rot;Rund;Echtes Leder;Mehrfarben;Zwei Stück Gurt;EUR
DZ4308;83.65;195.90;0;https://mediagallery.kiums.com/images/dz4308-01.jpg;https://mediagallery.kiums.com/images/dz4308-02.jpg;https://mediagallery.kiums.com/images/dz4308-03.jpg;https://mediagallery.kiums.com/images/dz4308-04.jpg;https://mediagallery.kiums.com/images/dz4308-06.jpg;https://mediagallery.kiums.com/images/dz4308-07.jpg;https://mediagallery.kiums.com/images/dz-box.jpg;;;Mega Chief;2010-Now;52 mm;Diesel;;UPC;IT;1;Diesel Mega Chief DZ4308 Quarz Herren Armbanduhr;Armbanduhr Diesel Mega Chief DZ4308 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 52 mm, Glastyp Mineral, Ziffernblatt Schwarz und uhrenarmband aus Echtes Leder in der farbe Schwarz;Stark, entschlossen, arrogant. Diesel-Uhr ist dauerhaft im Laufe der Zeit. Die Diesel-Philosophie ist im Laufe der Zeit unverändert geblieben: Renzo Rosso hatte sich eine Marke vorgestellt, die Synonym für Leidenschaft, Individualität und Selbstdarstellung ist. Ein Blick auf der Welt mit einer breiten Perspektive. Geometrische, quadrate, verführende und einnehmende Formen, die wissen, wie sie sich zu erkennen geben.;Mega Chief;;;;;;;;;;;;;;;;;;;;698615092598;Wristwatch;100 m (10 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Silber;Glanz;Analogue;Mineral Crystal;Schwarz;Rund;Echtes Leder;Schwarz;Zwei Stück Gurt;EUR
DZ4311;80.15;187.70;0;https://mediagallery.kiums.com/images/dz4311-01.jpg;https://mediagallery.kiums.com/images/dz-box.jpg;;;;;;;;;2010-Now;;Diesel;;UPC;IT;1;Diesel Double Down DZ4311 Quarz Herren Armbanduhr;Armbanduhr Diesel Double Down DZ4311 für Herren, uhrengehäuse aus   mit einem durchmesser von , Glastyp Mineral, Ziffernblatt   und uhrenarmband aus   in der farbe;Stark, entschlossen, arrogant. Diesel-Uhr ist dauerhaft im Laufe der Zeit. Die Diesel-Philosophie ist im Laufe der Zeit unverändert geblieben: Renzo Rosso hatte sich eine Marke vorgestellt, die Synonym für Leidenschaft, Individualität und Selbstdarstellung ist. Ein Blick auf der Welt mit einer breiten Perspektive. Geometrische, quadrate, verführende und einnehmende Formen, die wissen, wie sie sich zu erkennen geben.;Double Down;;;;;;;;;;;;;;;;;;;;698615094462;Wristwatch;;Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;;;;;;;;Mineral Crystal;;;;;;EUR
DZ4312;80.15;187.70;0;https://mediagallery.kiums.com/images/dz4312-01.jpg;https://mediagallery.kiums.com/images/dz-box.jpg;;;;;;;;;2010-Now;;Diesel;;UPC;IT;1;Diesel Double Down DZ4312 Quarz Herren Armbanduhr;Armbanduhr Diesel Double Down DZ4312 für Herren, uhrengehäuse aus   mit einem durchmesser von , Glastyp Mineral, Ziffernblatt   und uhrenarmband aus   in der farbe;Stark, entschlossen, arrogant. Diesel-Uhr ist dauerhaft im Laufe der Zeit. Die Diesel-Philosophie ist im Laufe der Zeit unverändert geblieben: Renzo Rosso hatte sich eine Marke vorgestellt, die Synonym für Leidenschaft, Individualität und Selbstdarstellung ist. Ein Blick auf der Welt mit einer breiten Perspektive. Geometrische, quadrate, verführende und einnehmende Formen, die wissen, wie sie sich zu erkennen geben.;Double Down;;;;;;;;;;;;;;;;;;;;698615094479;Wristwatch;;Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;;;;;;;;Mineral Crystal;;;;;;EUR
DZ4328;83.65;195.90;1;https://mediagallery.kiums.com/images/dz4328-01.jpg;https://mediagallery.kiums.com/images/dz4328-02.jpg;https://mediagallery.kiums.com/images/dz4328-03.jpg;https://mediagallery.kiums.com/images/dz4328-04.jpg;https://mediagallery.kiums.com/images/dz4328-05.jpg;https://mediagallery.kiums.com/images/dz4328-06.jpeg;https://mediagallery.kiums.com/images/dz4328-07.jpeg;https://mediagallery.kiums.com/images/dz-box.jpg;;Mega Chief;2010-Now;46 mm;Diesel;;UPC;IT;1;Diesel Mega Chief DZ4328 Quarz Herren Armbanduhr;Armbanduhr Diesel Mega Chief DZ4328 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 46 mm, Glastyp Mineral, Ziffernblatt Silber und uhrenarmband aus Edelstahl in der farbe Silber;Stark, entschlossen, arrogant. Diesel-Uhr ist dauerhaft im Laufe der Zeit. Die Diesel-Philosophie ist im Laufe der Zeit unverändert geblieben: Renzo Rosso hatte sich eine Marke vorgestellt, die Synonym für Leidenschaft, Individualität und Selbstdarstellung ist. Ein Blick auf der Welt mit einer breiten Perspektive. Geometrische, quadrate, verführende und einnehmende Formen, die wissen, wie sie sich zu erkennen geben.;Mega Chief;;;;;;;;;;;;;;;;;;;;698615096787;Wristwatch;100 m (10 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Silber;Glanz;Analogue;Mineral Crystal;Silber;Rund;Edelstahl;Silber;Armband Link Bang;EUR
DZ4338;97.65;228.69;1;https://mediagallery.kiums.com/images/dz4338-01.jpg;https://mediagallery.kiums.com/images/dz4338-02.jpg;https://mediagallery.kiums.com/images/dz4338-03.jpg;https://mediagallery.kiums.com/images/dz4338-04.jpg;https://mediagallery.kiums.com/images/dz4338-05.jpg;https://mediagallery.kiums.com/images/dz4338-06.jpg;https://mediagallery.kiums.com/images/dz-box.jpg;;;Mega Chief;2010-Now;53 mm;Diesel;;EAN;IT;1;Diesel Mega Chief DZ4338 Quarz Herren Armbanduhr;Armbanduhr Diesel Mega Chief DZ4338 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 53 mm, Glastyp Mineral, Ziffernblatt Schwarz und uhrenarmband aus Edelstahl in der farbe Schwarz;Stark, entschlossen, arrogant. Diesel-Uhr ist dauerhaft im Laufe der Zeit. Die Diesel-Philosophie ist im Laufe der Zeit unverändert geblieben: Renzo Rosso hatte sich eine Marke vorgestellt, die Synonym für Leidenschaft, Individualität und Selbstdarstellung ist. Ein Blick auf der Welt mit einer breiten Perspektive. Geometrische, quadrate, verführende und einnehmende Formen, die wissen, wie sie sich zu erkennen geben.;Mega Chief;;;;;;;;;;;;;;;;;;;4053858361522;698615099009;Wristwatch;100 m (10 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Schwarz;Glanz;Analogue;Mineral Crystal;Schwarz;Rund;Edelstahl;Schwarz;Armband Link Bang;EUR
DZ4360;97.65;228.69;30;https://mediagallery.kiums.com/images/dz4360-01.jpg;https://mediagallery.kiums.com/images/dz4360-02.jpg;https://mediagallery.kiums.com/images/dz4360-03.jpg;https://mediagallery.kiums.com/images/dz4360-04.jpg;https://mediagallery.kiums.com/images/dz4360-05.jpg;https://mediagallery.kiums.com/images/dz4360-06.jpg;https://mediagallery.kiums.com/images/dz-box.jpg;;;Mega Chief;2010-Now;51 mm;Diesel;;EAN;IT;1;Diesel Mega Chief DZ4360 Quarz Herren Armbanduhr;Armbanduhr Diesel Mega Chief DZ4360 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 51 mm, Glastyp Mineral, Ziffernblatt Gold und uhrenarmband aus Edelstahl in der farbe Gold;Stark, entschlossen, arrogant. Diesel-Uhr ist dauerhaft im Laufe der Zeit. Die Diesel-Philosophie ist im Laufe der Zeit unverändert geblieben: Renzo Rosso hatte sich eine Marke vorgestellt, die Synonym für Leidenschaft, Individualität und Selbstdarstellung ist. Ein Blick auf der Welt mit einer breiten Perspektive. Geometrische, quadrate, verführende und einnehmende Formen, die wissen, wie sie sich zu erkennen geben.;Mega Chief;;;;;;;;;;;;;;;;;;;4053858489257;698615105977;Wristwatch;100 m (10 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Gold;Glanz;Analogue;Mineral Crystal;Gold;Rund;Edelstahl;Gold;Armband Link Bang;EUR
DZ4364;90.65;212.30;0;https://mediagallery.kiums.com/images/dz4364-01.jpg;https://mediagallery.kiums.com/images/dz4364-02.jpg;https://mediagallery.kiums.com/images/dz4364-03.jpg;https://mediagallery.kiums.com/images/dz4364-06.jpg;https://mediagallery.kiums.com/images/dz4364-07.jpg;https://mediagallery.kiums.com/images/dz-box.jpg;;;;Ironside;2010-Now;48 mm;Diesel;;EAN;IT;1;Diesel Ironside DZ4364 Quarz Herren Armbanduhr;Armbanduhr Diesel Ironside DZ4364 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 48 mm, Glastyp Mineral, Ziffernblatt Blau und uhrenarmband aus Echtes Leder in der farbe Braun;Stark, entschlossen, arrogant. Diesel-Uhr ist dauerhaft im Laufe der Zeit. Die Diesel-Philosophie ist im Laufe der Zeit unverändert geblieben: Renzo Rosso hatte sich eine Marke vorgestellt, die Synonym für Leidenschaft, Individualität und Selbstdarstellung ist. Ein Blick auf der Welt mit einer breiten Perspektive. Geometrische, quadrate, verführende und einnehmende Formen, die wissen, wie sie sich zu erkennen geben.;Ironside;;;;;;;;;;;;;;;;;;;4053858504998;;Wristwatch;50 m (5 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;;Chronograph;Rund;Edelstahl;Grau;Glanz;Analogue;Mineral Crystal;Blau;Rund;Echtes Leder;Braun;Armband Link Bang;EUR
DZ4365;83.65;195.90;0;https://mediagallery.kiums.com/images/dz4365-01.jpg;https://mediagallery.kiums.com/images/dz4365-02.jpg;https://mediagallery.kiums.com/images/dz4365-03.jpg;https://mediagallery.kiums.com/images/dz4365-05.jpg;https://mediagallery.kiums.com/images/dz4365-06.jpg;https://mediagallery.kiums.com/images/dz4365-07.jpg;https://mediagallery.kiums.com/images/dz-box.jpg;;;Ironside;2010-Now;48 mm;Diesel;;EAN;IT;1;Diesel Ironside DZ4365 Quarz Herren Armbanduhr;Armbanduhr Diesel Ironside DZ4365 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 48 mm, Glastyp Mineral, Ziffernblatt Weiß und uhrenarmband aus Echtes Leder in der farbe Braun;Stark, entschlossen, arrogant. Diesel-Uhr ist dauerhaft im Laufe der Zeit. Die Diesel-Philosophie ist im Laufe der Zeit unverändert geblieben: Renzo Rosso hatte sich eine Marke vorgestellt, die Synonym für Leidenschaft, Individualität und Selbstdarstellung ist. Ein Blick auf der Welt mit einer breiten Perspektive. Geometrische, quadrate, verführende und einnehmende Formen, die wissen, wie sie sich zu erkennen geben.;Ironside;;;;;;;;;;;;;;;;;;;4053858513372;;Wristwatch;50 m (5 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;;Chronograph;Rund;Edelstahl;Grau;Glanz;Analogue;Mineral Crystal;Weiß;Rund;Echtes Leder;Braun;Armband Link Bang;EUR
